Date,SubDivision,GangId,OrderNumber,OperationNumber,TrackId,MegaWorkBlock,ShadowWorkBlock,SplitWorkBlock,WBMileFrom,WBMileTo,AnchorPattern,SpikePattern,CwrTerritory,DestressingMethod,ClosureType,NumberofInsulatedJoints,NumberofTransitionRails,NumberofCompromiseRails,FastenerTypeTie,PlateChangeOutRequired,RailType,TravelTimeDuringBlocks,ActualStartTime,ActualEndTime,NumberofTampers,ExpectedOutput,ConfidenceLevel,Version,workBlockPlannedMinutes
00:00.0,EDSON,W50P0R05,NULL,310,FB14,Yes,Yes,Yes,67.80000305,68.73999786,Pattern 10,A,No,HEATERS,NULL,1,0,0,CLIP_RAIL,No,New,0,NULL,NULL,NULL,4055,72,1,600
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,88.59999847,89.87000275,Pattern 10,A,No,HEATERS,NULL,0,0,1,NA,Yes,New,60,NULL,NULL,NULL,3338,72,1,480
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,88.59999847,89.87000275,Pattern 10,A,No,HEATERS,NULL,0,0,0,NA,Yes,New,60,NULL,NULL,NULL,3604,72,1,480
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,88.59999847,89.87000275,Pattern 10,A,No,HEATERS,NULL,0,0,0,NA,Yes,New,60,NULL,NULL,NULL,3604,72,1,480
00:00.0,EDSON,W50P0R05,NULL,310,FB14,Yes,Yes,Yes,67.95999908,68.69000244,Pattern 10,A,No,PULLERS,NULL,0,0,0,CLIP_RAIL,No,New,0,NULL,NULL,NULL,3301,72,1,600
00:00.0,EDSON,W50P0R05,NULL,310,FB14,Yes,Yes,Yes,67.95999908,68.69000244,Pattern 10,A,No,PULLERS,NULL,0,0,0,CLIP_RAIL,No,New,0,NULL,NULL,NULL,3301,72,1,600
00:00.0,ABERDEEN,W40P0R03,NULL,310,1,No,No,Yes,120.8000031,121.0800018,Pattern 10,A,No,NONE,NULL,0,0,2,NA,Yes,New,65,NULL,NULL,NULL,1710,72,1,550
00:00.0,ABERDEEN,W40P0R03,NULL,310,1,No,No,Yes,120.8000031,121.0800018,Pattern 10,A,No,NONE,NULL,0,0,2,NA,Yes,New,65,NULL,NULL,NULL,1710,72,1,550
00:00.0,SANGUDO,W50P0R03,NULL,310,1,No,No,Yes,67.80000305,67.93000031,Pattern 10,A,Yes,JOINTED TRACK,NULL,0,0,1,NA,Yes,New,0,NULL,NULL,NULL,1398,72,1,360
00:00.0,RIVERS,W40P0R02,NULL,310,1,Yes,Yes,Yes,0,0.109999999,Pattern 10,B,No,NONE,NULL,1,0,0,NA,Yes,New,0,NULL,NULL,NULL,1442,72,1,300
