Date,SubDivision,GangId,OrderNumber,OperationNumber,TrackId,MegaWorkBlock,ShadowWorkBlock,SplitWorkBlock,TieType,WBMileFrom,WBMileTo,AnchorPattern,SpikePattern,FastenerTypeTie,TravelTimeDuringBlocks,ActualStartTime,ActualEndTime,TieNumberType,NumberofTampers,PadInsulatorType,ExpectedOutput,ConfidenceLevel,Version,workBlockPlannedMinutes,TieDensity
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,3.900000095,4.340000153,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,156.6399994,0.699999988,1,0,5320.453613
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,4,4.090000153,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,243.2250061,0.699999988,1,0,2744.439697
00:00.0,YALE,W50P0T03,707565622,410,PA10,No,No,No,WOOD,0.100000001,1.309999943,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,436.1600037,0.699999988,1,360,433.8843384
00:00.0,SKEENA,W54T0200,707565906,410,SF74,No,No,No,WOOD,0.050000001,1,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,121.4800034,0.699999988,1,180,124.2105255
00:00.0,SKEENA,W54T0200,707565906,410,SF72,No,No,No,WOOD,0.150000006,1,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,194.9149933,0.699999988,1,180,232.9411774
00:00.0,YALE,W50P0T03,707565622,410,PA06,No,No,No,WOOD,0.100000001,0.889999986,Pattern 6,A,NA,30,NULL,NULL,NA,0,NULL,771.539978,0.699999988,1,420,962.0253906
00:00.0,YALE,W50P0T03,707565622,410,PA06,No,No,No,WOOD,0.100000001,0.889999986,Pattern 6,A,NA,30,NULL,NULL,NA,0,NULL,771.539978,0.699999988,1,420,962.0253906
00:00.0,CLEARWATER,W53T06TE,707565774,410,1,No,No,No,WOOD,94.5,94.54000092,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,7.885000229,0.699999988,1,0,199.9954224
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,4.090000153,4.150000095,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,167.1799927,0.699999988,1,0,2750.002686
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,3.799999952,4.260000229,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,156.6399994,0.699999988,1,0,5278.257813
